"ano"	"volume"	"tomo"	"url"
"1969"	"049"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=049_1"
"1969"	"049"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=049_2"
"1969"	"049"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=049_3"
"1969"	"050"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=050_1"
"1969"	"050"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=050_2"
"1969"	"050"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=050_3"
"1970"	"051"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=051_1"
"1970"	"051"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=051_2"
"1970"	"051"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=051_3"
"1970"	"052"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=052_1"
"1970"	"052"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=052_2"
"1970"	"052"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=052_3"
"1970"	"053"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=053_1"
"1970"	"053"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=053_2"
"1970"	"053"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=053_3"
"1970"	"054"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=054_1"
"1970"	"054"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=054_2"
"1970"	"054"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=054_3"
"1971"	"055"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=055_1"
"1971"	"055"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=055_2"
"1971"	"055"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=055_3"
"1971"	"056"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=056_1"
"1971"	"056"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=056_2"
"1971"	"056"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=056_3"
"1971"	"057"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=057_1"
"1971"	"057"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=057_2"
"1971"	"057"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=057_3"
"1971"	"058"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=058_1"
